COMUNA,BARRIO,RANGO ETARIO,personas
01. NORTE,ALBANIA,5. Adultez  (27 – 59 años),0
01. NORTE,ALBANIA,6. Vejez (60 años y más),0
01. NORTE,ALFONSO LOPEZ,1. Primera infancia (0-5 años),0
01. NORTE,ALFONSO LOPEZ,2. Infancia  (6 – 11 años),0
01. NORTE,ALFONSO LOPEZ,3. Adolescencia (12-18 años),0
01. NORTE,ALFONSO LOPEZ,4. Juventud (14 – 26 años),0
01. NORTE,ALFONSO LOPEZ,5. Adultez  (27 – 59 años),0
01. NORTE,ALFONSO LOPEZ,6. Vejez (60 años y más),0
01. NORTE,ALTO DE LOS PADRES,1. Primera infancia (0-5 años),0
01. NORTE,ALTO DE LOS PADRES,2. Infancia  (6 – 11 años),0
01. NORTE,ALTO DE LOS PADRES,3. Adolescencia (12-18 años),0
01. NORTE,ALTO DE LOS PADRES,4. Juventud (14 – 26 años),0
01. NORTE,ALTO DE LOS PADRES,5. Adultez  (27 – 59 años),0
01. NORTE,ALTO DE LOS PADRES,6. Vejez (60 años y más),0
01. NORTE,ALTOS DEL CACIQUE,1. Primera infancia (0-5 años),0
01. NORTE,ALTOS DEL CACIQUE,2. Infancia  (6 – 11 años),0
01. NORTE,ALTOS DEL CACIQUE,3. Adolescencia (12-18 años),0
01. NORTE,ALTOS DEL CACIQUE,4. Juventud (14 – 26 años),0
01. NORTE,ALTOS DEL CACIQUE,5. Adultez  (27 – 59 años),0
01. NORTE,ALTOS DEL CACIQUE,6. Vejez (60 años y más),0
01. NORTE,ALTOS DEL KENNEDY,1. Primera infancia (0-5 años),0
01. NORTE,ALTOS DEL KENNEDY,2. Infancia  (6 – 11 años),0
01. NORTE,ALTOS DEL KENNEDY,3. Adolescencia (12-18 años),16
01. NORTE,ALTOS DEL KENNEDY,4. Juventud (14 – 26 años),90
01. NORTE,ALTOS DEL KENNEDY,5. Adultez  (27 – 59 años),62
01. NORTE,ALTOS DEL KENNEDY,6. Vejez (60 años y más),1
01. NORTE,ALTOS DEL PROGRESO,1. Primera infancia (0-5 años),0
01. NORTE,ALTOS DEL PROGRESO,2. Infancia  (6 – 11 años),0
01. NORTE,ALTOS DEL PROGRESO,3. Adolescencia (12-18 años),13
01. NORTE,ALTOS DEL PROGRESO,4. Juventud (14 – 26 años),75
01. NORTE,ALTOS DEL PROGRESO,5. Adultez  (27 – 59 años),42
01. NORTE,ALTOS DEL PROGRESO,6. Vejez (60 años y más),0
01. NORTE,ALVAREZ LAS AMERICAS,1. Primera infancia (0-5 años),0
01. NORTE,ALVAREZ LAS AMERICAS,2. Infancia  (6 – 11 años),0
01. NORTE,ALVAREZ LAS AMERICAS,3. Adolescencia (12-18 años),0
01. NORTE,ALVAREZ LAS AMERICAS,4. Juventud (14 – 26 años),0
01. NORTE,ALVAREZ LAS AMERICAS,5. Adultez  (27 – 59 años),0
01. NORTE,ALVAREZ LAS AMERICAS,6. Vejez (60 años y más),0
01. NORTE,ANTIGUA COLOMBIA,1. Primera infancia (0-5 años),0
01. NORTE,ANTIGUA COLOMBIA,2. Infancia  (6 – 11 años),0
01. NORTE,ANTIGUA COLOMBIA,3. Adolescencia (12-18 años),0
01. NORTE,ANTIGUA COLOMBIA,4. Juventud (14 – 26 años),0
01. NORTE,ANTIGUA COLOMBIA,5. Adultez  (27 – 59 años),0
01. NORTE,ANTIGUA COLOMBIA,6. Vejez (60 años y más),0
01. NORTE,ANTIGUO CAMPESTRE,1. Primera infancia (0-5 años),0
01. NORTE,ANTIGUO CAMPESTRE,2. Infancia  (6 – 11 años),0
01. NORTE,ANTIGUO CAMPESTRE,3. Adolescencia (12-18 años),0
01. NORTE,ANTIGUO CAMPESTRE,4. Juventud (14 – 26 años),0
01. NORTE,ANTIGUO CAMPESTRE,5. Adultez  (27 – 59 años),0
01. NORTE,ANTIGUO CAMPESTRE,6. Vejez (60 años y más),0
01. NORTE,ANTONIA SANTOS CENTRO,1. Primera infancia (0-5 años),0
01. NORTE,ANTONIA SANTOS CENTRO,2. Infancia  (6 – 11 años),0
01. NORTE,ANTONIA SANTOS CENTRO,3. Adolescencia (12-18 años),0
01. NORTE,ANTONIA SANTOS CENTRO,4. Juventud (14 – 26 años),0
01. NORTE,ANTONIA SANTOS CENTRO,5. Adultez  (27 – 59 años),0
01. NORTE,ANTONIA SANTOS CENTRO,6. Vejez (60 años y más),0
01. NORTE,ANTONIA SANTOS SUR,1. Primera infancia (0-5 años),0
01. NORTE,ANTONIA SANTOS SUR,2. Infancia  (6 – 11 años),0
01. NORTE,ANTONIA SANTOS SUR,3. Adolescencia (12-18 años),0
01. NORTE,ANTONIA SANTOS SUR,4. Juventud (14 – 26 años),0
01. NORTE,ANTONIA SANTOS SUR,5. Adultez  (27 – 59 años),0
01. NORTE,ANTONIA SANTOS SUR,6. Vejez (60 años y más),0
01. NORTE,ASENTAMIENTO 5 DE ENERO,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO 5 DE ENERO,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO 5 DE ENERO,3. Adolescencia (12-18 años),0
01. NORTE,ASENTAMIENTO 5 DE ENERO,4. Juventud (14 – 26 años),0
01. NORTE,ASENTAMIENTO 5 DE ENERO,5. Adultez  (27 – 59 años),0
01. NORTE,ASENTAMIENTO 5 DE ENERO,6. Vejez (60 años y más),0
01. NORTE,ASENTAMIENTO CAMILO TORRES,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO CAMILO TORRES,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO CAMILO TORRES,3. Adolescencia (12-18 años),0
01. NORTE,ASENTAMIENTO CAMILO TORRES,4. Juventud (14 – 26 años),0
01. NORTE,ASENTAMIENTO CAMILO TORRES,5. Adultez  (27 – 59 años),0
01. NORTE,ASENTAMIENTO CAMILO TORRES,6. Vejez (60 años y más),0
01. NORTE,ASENTAMIENTO CAMINO DE PAZ I,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO CAMINO DE PAZ I,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO CAMINO DE PAZ I,3. Adolescencia (12-18 años),1
01. NORTE,ASENTAMIENTO CAMINO DE PAZ I,4. Juventud (14 – 26 años),1
01. NORTE,ASENTAMIENTO CAMINO DE PAZ I,5. Adultez  (27 – 59 años),0
01. NORTE,ASENTAMIENTO CAMINO DE PAZ I,6. Vejez (60 años y más),0
01. NORTE,ASENTAMIENTO CARLOS PIZARRO,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO CARLOS PIZARRO,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO CARLOS PIZARRO,3. Adolescencia (12-18 años),0
01. NORTE,ASENTAMIENTO CARLOS PIZARRO,4. Juventud (14 – 26 años),0
01. NORTE,ASENTAMIENTO CARLOS PIZARRO,5. Adultez  (27 – 59 años),0
01. NORTE,ASENTAMIENTO CARLOS PIZARRO,6. Vejez (60 años y más),0
01. NORTE,ASENTAMIENTO CERVUNION,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO CERVUNION,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO CERVUNION,3. Adolescencia (12-18 años),0
01. NORTE,ASENTAMIENTO CERVUNION,4. Juventud (14 – 26 años),2
01. NORTE,ASENTAMIENTO CERVUNION,5. Adultez  (27 – 59 años),1
01. NORTE,ASENTAMIENTO CERVUNION,6. Vejez (60 años y más),0
01. NORTE,ASENTAMIENTO DIVINO NINO,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO DIVINO NINO,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO DIVINO NINO,3. Adolescencia (12-18 años),9
01. NORTE,ASENTAMIENTO DIVINO NINO,4. Juventud (14 – 26 años),22
01. NORTE,ASENTAMIENTO DIVINO NINO,5. Adultez  (27 – 59 años),25
01. NORTE,ASENTAMIENTO DIVINO NINO,6. Vejez (60 años y más),1
01. NORTE,ASENTAMIENTO EL FONCE,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO EL FONCE,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO EL FONCE,3. Adolescencia (12-18 años),0
01. NORTE,ASENTAMIENTO EL FONCE,4. Juventud (14 – 26 años),0
01. NORTE,ASENTAMIENTO EL FONCE,5. Adultez  (27 – 59 años),0
01. NORTE,ASENTAMIENTO EL FONCE,6. Vejez (60 años y más),0
01. NORTE,ASENTAMIENTO JOSE ANTONIO GALAN,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO JOSE ANTONIO GALAN,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO JOSE ANTONIO GALAN,3. Adolescencia (12-18 años),0
01. NORTE,ASENTAMIENTO JOSE ANTONIO GALAN,4. Juventud (14 – 26 años),0
01. NORTE,ASENTAMIENTO JOSE ANTONIO GALAN,5. Adultez  (27 – 59 años),0
01. NORTE,ASENTAMIENTO JOSE ANTONIO GALAN,6. Vejez (60 años y más),0
01. NORTE,ASENTAMIENTO MESETAS DEL SANTUARIO,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO MESETAS DEL SANTUARIO,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO MESETAS DEL SANTUARIO,3. Adolescencia (12-18 años),0
01. NORTE,ASENTAMIENTO MESETAS DEL SANTUARIO,4. Juventud (14 – 26 años),0
01. NORTE,ASENTAMIENTO MESETAS DEL SANTUARIO,5. Adultez  (27 – 59 años),0
01. NORTE,ASENTAMIENTO MESETAS DEL SANTUARIO,6. Vejez (60 años y más),0
01. NORTE,ASENTAMIENTO MIRADOR DEL NORTE,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO MIRADOR DEL NORTE,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO MIRADOR DEL NORTE,3. Adolescencia (12-18 años),0
01. NORTE,ASENTAMIENTO MIRADOR DEL NORTE,4. Juventud (14 – 26 años),0
01. NORTE,ASENTAMIENTO MIRADOR DEL NORTE,5. Adultez  (27 – 59 años),0
01. NORTE,ASENTAMIENTO MIRADOR DEL NORTE,6. Vejez (60 años y más),0
01. NORTE,ASENTAMIENTO PRIMAVERAL,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO PRIMAVERAL,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO PRIMAVERAL,3. Adolescencia (12-18 años),0
01. NORTE,ASENTAMIENTO PRIMAVERAL,4. Juventud (14 – 26 años),0
01. NORTE,ASENTAMIENTO PRIMAVERAL,5. Adultez  (27 – 59 años),0
01. NORTE,ASENTAMIENTO PRIMAVERAL,6. Vejez (60 años y más),0
01. NORTE,ASENTAMIENTO ZARABANDA,1. Primera infancia (0-5 años),0
01. NORTE,ASENTAMIENTO ZARABANDA,2. Infancia  (6 – 11 años),0
01. NORTE,ASENTAMIENTO ZARABANDA,3. Adolescencia (12-18 años),0
01. NORTE,ASENTAMIENTO ZARABANDA,4. Juventud (14 – 26 años),0
01. NORTE,ASENTAMIENTO ZARABANDA,5. Adultez  (27 – 59 años),0
01. NORTE,ASENTAMIENTO ZARABANDA,6. Vejez (60 años y más),0
01. NORTE,ASTURIAS,1. Primera infancia (0-5 años),0
01. NORTE,ASTURIAS,2. Infancia  (6 – 11 años),0
01. NORTE,ASTURIAS,3. Adolescencia (12-18 años),0
01. NORTE,ASTURIAS,4. Juventud (14 – 26 años),0
01. NORTE,ASTURIAS,5. Adultez  (27 – 59 años),0
01. NORTE,ASTURIAS,6. Vejez (60 años y más),0
01. NORTE,BALCONCITOS,1. Primera infancia (0-5 años),0
01. NORTE,BALCONCITOS,2. Infancia  (6 – 11 años),0
01. NORTE,BALCONCITOS,3. Adolescencia (12-18 años),0
01. NORTE,BALCONCITOS,4. Juventud (14 – 26 años),0
01. NORTE,BALCONCITOS,5. Adultez  (27 – 59 años),0
01. NORTE,BALCONCITOS,6. Vejez (60 años y más),0
01. NORTE,BALCONES DEL KENEDY,1. Primera infancia (0-5 años),0
01. NORTE,BALCONES DEL KENEDY,2. Infancia  (6 – 11 años),0
01. NORTE,BALCONES DEL KENEDY,3. Adolescencia (12-18 años),6
01. NORTE,BALCONES DEL KENEDY,4. Juventud (14 – 26 años),7
01. NORTE,BALCONES DEL KENEDY,5. Adultez  (27 – 59 años),13
01. NORTE,BALCONES DEL KENEDY,6. Vejez (60 años y más),0
01. NORTE,BALCONES DEL PALMAR,1. Primera infancia (0-5 años),0
01. NORTE,BALCONES DEL PALMAR,2. Infancia  (6 – 11 años),0
01. NORTE,BALCONES DEL PALMAR,3. Adolescencia (12-18 años),0
01. NORTE,BALCONES DEL PALMAR,4. Juventud (14 – 26 años),0
01. NORTE,BALCONES DEL PALMAR,5. Adultez  (27 – 59 años),0
01. NORTE,BALCONES DEL PALMAR,6. Vejez (60 años y más),0
01. NORTE,BALCONES DEL PARAISO,1. Primera infancia (0-5 años),0
01. NORTE,BALCONES DEL PARAISO,2. Infancia  (6 – 11 años),0
01. NORTE,BALCONES DEL PARAISO,3. Adolescencia (12-18 años),0
01. NORTE,BALCONES DEL PARAISO,4. Juventud (14 – 26 años),0
01. NORTE,BALCONES DEL PARAISO,5. Adultez  (27 – 59 años),0
01. NORTE,BALCONES DEL PARAISO,6. Vejez (60 años y más),0
01. NORTE,BALCONES DEL SUR,1. Primera infancia (0-5 años),0
01. NORTE,BALCONES DEL SUR,2. Infancia  (6 – 11 años),0
01. NORTE,BALCONES DEL SUR,3. Adolescencia (12-18 años),0
01. NORTE,BALCONES DEL SUR,4. Juventud (14 – 26 años),0
01. NORTE,BALCONES DEL SUR,5. Adultez  (27 – 59 años),0
01. NORTE,BALCONES DEL SUR,6. Vejez (60 años y más),0
01. NORTE,BARRIO NUEVO,1. Primera infancia (0-5 años),0
01. NORTE,BARRIO NUEVO,2. Infancia  (6 – 11 años),0
01. NORTE,BARRIO NUEVO,3. Adolescencia (12-18 años),1
01. NORTE,BARRIO NUEVO,4. Juventud (14 – 26 años),1
01. NORTE,BARRIO NUEVO,5. Adultez  (27 – 59 años),2
01. NORTE,BARRIO NUEVO,6. Vejez (60 años y más),0
01. NORTE,BETANIA,1. Primera infancia (0-5 años),0
01. NORTE,BETANIA,2. Infancia  (6 – 11 años),0
01. NORTE,BETANIA,3. Adolescencia (12-18 años),46
01. NORTE,BETANIA,4. Juventud (14 – 26 años),210
01. NORTE,BETANIA,5. Adultez  (27 – 59 años),212
01. NORTE,BETANIA,6. Vejez (60 años y más),3
01. NORTE,BOLARQUI,1. Primera infancia (0-5 años),0
01. NORTE,BOLARQUI,2. Infancia  (6 – 11 años),0
01. NORTE,BOLARQUI,3. Adolescencia (12-18 años),0
01. NORTE,BOLARQUI,4. Juventud (14 – 26 años),0
01. NORTE,BOLARQUI,5. Adultez  (27 – 59 años),0
01. NORTE,BOLARQUI,6. Vejez (60 años y más),0
01. NORTE,BOLIVAR,1. Primera infancia (0-5 años),0
01. NORTE,BOLIVAR,2. Infancia  (6 – 11 años),0
01. NORTE,BOLIVAR,3. Adolescencia (12-18 años),0
01. NORTE,BOLIVAR,4. Juventud (14 – 26 años),0
01. NORTE,BOLIVAR,5. Adultez  (27 – 59 años),0
01. NORTE,BOLIVAR,6. Vejez (60 años y más),0
01. NORTE,BONANZA CAMPESTRE,1. Primera infancia (0-5 años),0
01. NORTE,BONANZA CAMPESTRE,2. Infancia  (6 – 11 años),0
01. NORTE,BONANZA CAMPESTRE,3. Adolescencia (12-18 años),0
01. NORTE,BONANZA CAMPESTRE,4. Juventud (14 – 26 años),0
01. NORTE,BONANZA CAMPESTRE,5. Adultez  (27 – 59 años),0
01. NORTE,BONANZA CAMPESTRE,6. Vejez (60 años y más),0
01. NORTE,BOSCONIA,1. Primera infancia (0-5 años),0
01. NORTE,BOSCONIA,2. Infancia  (6 – 11 años),0
01. NORTE,BOSCONIA,3. Adolescencia (12-18 años),0
01. NORTE,BOSCONIA,4. Juventud (14 – 26 años),0
01. NORTE,BOSCONIA,5. Adultez  (27 – 59 años),0
01. NORTE,BOSCONIA,6. Vejez (60 años y más),0
01. NORTE,BOSQUE NORTE,1. Primera infancia (0-5 años),0
01. NORTE,BOSQUE NORTE,2. Infancia  (6 – 11 años),0
01. NORTE,BOSQUE NORTE,3. Adolescencia (12-18 años),0
01. NORTE,BOSQUE NORTE,4. Juventud (14 – 26 años),0
01. NORTE,BOSQUE NORTE,5. Adultez  (27 – 59 años),0
01. NORTE,BOSQUE NORTE,6. Vejez (60 años y más),0
01. NORTE,BRISAS DE PROVENZA,1. Primera infancia (0-5 años),0
01. NORTE,BRISAS DE PROVENZA,2. Infancia  (6 – 11 años),0
01. NORTE,BRISAS DE PROVENZA,3. Adolescencia (12-18 años),0
01. NORTE,BRISAS DE PROVENZA,4. Juventud (14 – 26 años),0
01. NORTE,BRISAS DE PROVENZA,5. Adultez  (27 – 59 años),0
01. NORTE,BRISAS DE PROVENZA,6. Vejez (60 años y más),0
01. NORTE,BRISAS DEL MUTIS,1. Primera infancia (0-5 años),0
01. NORTE,BRISAS DEL MUTIS,2. Infancia  (6 – 11 años),0
01. NORTE,BRISAS DEL MUTIS,3. Adolescencia (12-18 años),0
01. NORTE,BRISAS DEL MUTIS,4. Juventud (14 – 26 años),0
01. NORTE,BRISAS DEL MUTIS,5. Adultez  (27 – 59 años),0
01. NORTE,BRISAS DEL MUTIS,6. Vejez (60 años y más),0
01. NORTE,BUCARAMANGA,1. Primera infancia (0-5 años),0
01. NORTE,BUCARAMANGA,2. Infancia  (6 – 11 años),0
01. NORTE,BUCARAMANGA,3. Adolescencia (12-18 años),0
01. NORTE,BUCARAMANGA,4. Juventud (14 – 26 años),0
01. NORTE,BUCARAMANGA,5. Adultez  (27 – 59 años),0
01. NORTE,BUCARAMANGA,6. Vejez (60 años y más),0
01. NORTE,BUENAVISTA,1. Primera infancia (0-5 años),0
01. NORTE,BUENAVISTA,2. Infancia  (6 – 11 años),0
01. NORTE,BUENAVISTA,3. Adolescencia (12-18 años),0
01. NORTE,BUENAVISTA,4. Juventud (14 – 26 años),0
01. NORTE,BUENAVISTA,5. Adultez  (27 – 59 años),0
01. NORTE,BUENAVISTA,6. Vejez (60 años y más),0
01. NORTE,BUENOS AIRES,1. Primera infancia (0-5 años),0
01. NORTE,BUENOS AIRES,2. Infancia  (6 – 11 años),0
01. NORTE,BUENOS AIRES,3. Adolescencia (12-18 años),0
01. NORTE,BUENOS AIRES,4. Juventud (14 – 26 años),0
01. NORTE,BUENOS AIRES,5. Adultez  (27 – 59 años),0
01. NORTE,BUENOS AIRES,6. Vejez (60 años y más),0
01. NORTE,BULEVAR DEL CACIQUE,1. Primera infancia (0-5 años),0
01. NORTE,BULEVAR DEL CACIQUE,2. Infancia  (6 – 11 años),0
01. NORTE,BULEVAR DEL CACIQUE,3. Adolescencia (12-18 años),0
01. NORTE,BULEVAR DEL CACIQUE,4. Juventud (14 – 26 años),0
01. NORTE,BULEVAR DEL CACIQUE,5. Adultez  (27 – 59 años),0
01. NORTE,BULEVAR DEL CACIQUE,6. Vejez (60 años y más),0
01. NORTE,CABECERA DEL LLANO,1. Primera infancia (0-5 años),0
01. NORTE,CABECERA DEL LLANO,2. Infancia  (6 – 11 años),0
01. NORTE,CABECERA DEL LLANO,3. Adolescencia (12-18 años),0
01. NORTE,CABECERA DEL LLANO,4. Juventud (14 – 26 años),0
01. NORTE,CABECERA DEL LLANO,5. Adultez  (27 – 59 años),0
01. NORTE,CABECERA DEL LLANO,6. Vejez (60 años y más),0
01. NORTE,CAFE MADRID,1. Primera infancia (0-5 años),0
01. NORTE,CAFE MADRID,2. Infancia  (6 – 11 años),0
01. NORTE,CAFE MADRID,3. Adolescencia (12-18 años),113
01. NORTE,CAFE MADRID,4. Juventud (14 – 26 años),628
01. NORTE,CAFE MADRID,5. Adultez  (27 – 59 años),824
01. NORTE,CAFE MADRID,6. Vejez (60 años y más),26
01. NORTE,CAMPESTRE NORTE (GETSEMANI / LOS CERROS / LA FORTUNA),1. Primera infancia (0-5 años),0
01. NORTE,CAMPESTRE NORTE (GETSEMANI / LOS CERROS / LA FORTUNA),2. Infancia  (6 – 11 años),0
01. NORTE,CAMPESTRE NORTE (GETSEMANI / LOS CERROS / LA FORTUNA),3. Adolescencia (12-18 años),18
01. NORTE,CAMPESTRE NORTE (GETSEMANI / LOS CERROS / LA FORTUNA),4. Juventud (14 – 26 años),39
01. NORTE,CAMPESTRE NORTE (GETSEMANI / LOS CERROS / LA FORTUNA),5. Adultez  (27 – 59 años),30
01. NORTE,CAMPESTRE NORTE (GETSEMANI / LOS CERROS / LA FORTUNA),6. Vejez (60 años y más),1
01. NORTE,CAMPO HERMOSO,1. Primera infancia (0-5 años),0
01. NORTE,CAMPO HERMOSO,2. Infancia  (6 – 11 años),0
01. NORTE,CAMPO HERMOSO,3. Adolescencia (12-18 años),0
01. NORTE,CAMPO HERMOSO,4. Juventud (14 – 26 años),0
01. NORTE,CAMPO HERMOSO,5. Adultez  (27 – 59 años),0
01. NORTE,CAMPO HERMOSO,6. Vejez (60 años y más),0
01. NORTE,CANDADO,1. Primera infancia (0-5 años),0
01. NORTE,CANDADO,2. Infancia  (6 – 11 años),0
01. NORTE,CANDADO,3. Adolescencia (12-18 años),0
01. NORTE,CANDADO,4. Juventud (14 – 26 años),0
01. NORTE,CANDADO,5. Adultez  (27 – 59 años),0
01. NORTE,CANDADO,6. Vejez (60 años y más),0
01. NORTE,CANDILES,1. Primera infancia (0-5 años),0
01. NORTE,CANDILES,2. Infancia  (6 – 11 años),0
01. NORTE,CANDILES,3. Adolescencia (12-18 años),0
01. NORTE,CANDILES,4. Juventud (14 – 26 años),0
01. NORTE,CANDILES,5. Adultez  (27 – 59 años),0
01. NORTE,CANDILES,6. Vejez (60 años y más),0
01. NORTE,CANELOS,1. Primera infancia (0-5 años),0
01. NORTE,CANELOS,2. Infancia  (6 – 11 años),0
01. NORTE,CANELOS,3. Adolescencia (12-18 años),0
01. NORTE,CANELOS,4. Juventud (14 – 26 años),0
01. NORTE,CANELOS,5. Adultez  (27 – 59 años),0
01. NORTE,CANELOS,6. Vejez (60 años y más),0
01. NORTE,CENTRO,1. Primera infancia (0-5 años),0
01. NORTE,CENTRO,2. Infancia  (6 – 11 años),0
01. NORTE,CENTRO,3. Adolescencia (12-18 años),0
01. NORTE,CENTRO,4. Juventud (14 – 26 años),0
01. NORTE,CENTRO,5. Adultez  (27 – 59 años),0
01. NORTE,CENTRO,6. Vejez (60 años y más),0
01. NORTE,CHAPINERO,1. Primera infancia (0-5 años),0
01. NORTE,CHAPINERO,2. Infancia  (6 – 11 años),0
01. NORTE,CHAPINERO,3. Adolescencia (12-18 años),0
01. NORTE,CHAPINERO,4. Juventud (14 – 26 años),0
01. NORTE,CHAPINERO,5. Adultez  (27 – 59 años),0
01. NORTE,CHAPINERO,6. Vejez (60 años y más),0
01. NORTE,CHITOTA,1. Primera infancia (0-5 años),0
01. NORTE,CHITOTA,2. Infancia  (6 – 11 años),0
01. NORTE,CHITOTA,3. Adolescencia (12-18 años),0
01. NORTE,CHITOTA,4. Juventud (14 – 26 años),0
01. NORTE,CHITOTA,5. Adultez  (27 – 59 años),0
01. NORTE,CHITOTA,6. Vejez (60 años y más),0
01. NORTE,CHORRERAS DE DON JUAN,1. Primera infancia (0-5 años),0
01. NORTE,CHORRERAS DE DON JUAN,2. Infancia  (6 – 11 años),0
01. NORTE,CHORRERAS DE DON JUAN,3. Adolescencia (12-18 años),0
01. NORTE,CHORRERAS DE DON JUAN,4. Juventud (14 – 26 años),0
01. NORTE,CHORRERAS DE DON JUAN,5. Adultez  (27 – 59 años),0
01. NORTE,CHORRERAS DE DON JUAN,6. Vejez (60 años y más),0
01. NORTE,CINAL,1. Primera infancia (0-5 años),0
01. NORTE,CINAL,2. Infancia  (6 – 11 años),0
01. NORTE,CINAL,3. Adolescencia (12-18 años),0
01. NORTE,CINAL,4. Juventud (14 – 26 años),0
01. NORTE,CINAL,5. Adultez  (27 – 59 años),0
01. NORTE,CINAL,6. Vejez (60 años y más),0
01. NORTE,CIUDAD METROPOLITANA,1. Primera infancia (0-5 años),0
01. NORTE,CIUDAD METROPOLITANA,2. Infancia  (6 – 11 años),0
01. NORTE,CIUDAD METROPOLITANA,3. Adolescencia (12-18 años),0
01. NORTE,CIUDAD METROPOLITANA,4. Juventud (14 – 26 años),0
01. NORTE,CIUDAD METROPOLITANA,5. Adultez  (27 – 59 años),0
